title,year,genre,tags
Inception,2010,sci-fi|action,dream|mind-bending|city folding|heist
Interstellar,2014,sci-fi|drama,space|wormhole|black hole|relativity
The Dark Knight,2008,action|crime|drama,batman|joker|gotham|chaos
The Dark Knight Rises,2012,action|crime|drama,batman|bane|gotham
Batman Begins,2005,action|crime,batman|origin|ninja|fear
The Godfather,1972,crime|drama,mafia|corleone|family
The Godfather Part II,1974,crime|drama,mafia|corleone|prequel
The Godfather Part III,1990,crime|drama,mafia|corleone|vatican
Pulp Fiction,1994,crime|dark comedy,tarantino|nonlinear|hitman
Kill Bill Vol.1,2003,action|martial arts,revenge|samurai sword|uma thurman
Kill Bill Vol.2,2004,action|drama,revenge|kungfu|tarantino
Django Unchained,2012,western|drama,slavery|bounty hunter|tarantino
Reservoir Dogs,1992,crime|thriller,tarantino|heist|betrayal
The Matrix,1999,sci-fi|action,simulation|neo|cyberpunk
The Matrix Reloaded,2003,sci-fi|action,simulation|trinity|zion
The Matrix Revolutions,2003,sci-fi|action,simulation|war|machines
The Matrix Resurrections,2021,sci-fi|action,reboot|simulation
John Wick,2014,action|crime,hitman|revenge|gun-fu
John Wick 2,2017,action|crime,continental|assassin|rome
John Wick 3,2019,action|crime,assassin|high table|desert
John Wick 4,2023,action|crime,duel|osaka|paris
Tenet,2020,sci-fi|action,time inversion|spy|christopher nolan
Dunkirk,2017,war|drama,ww2|beach|survival
Oppenheimer,2023,drama|biography,atomic bomb|manhattan project
Memento,2000,thriller|mystery,memory loss|nonlinear|tattoos
The Prestige,2006,drama|mystery,magician|rivalry|illusion
Insomnia,2002,thriller|crime,detective|alaska|no sleep
Avatar,2009,sci-fi|adventure,pandora|navi|3d
Avatar 2,2022,sci-fi|adventure,water tribe|pandora|aquatic
Titanic,1997,romance|drama,ship|iceberg|love story
Shutter Island,2010,thriller|mystery,mental asylum|twist
The Revenant,2015,drama|survival,frontier|bear attack|leo dicaprio
The Wolf of Wall Street,2013,biography|drama,wall street|stocks|scorsese
Goodfellas,1990,crime|drama,mafia|scorsese|henry hill
Casino,1995,crime|drama,vegas|mafia|scorsese
The Irishman,2019,crime|drama,mafia|aging|hitman
Taxi Driver,1976,crime|drama,veteran|loneliness|scorsese
Fight Club,1999,drama|thriller,mental|anarchy|tyler durden
Seven,1995,crime|thriller,serial killer|seven sins|detective
Gone Girl,2014,thriller|mystery,marriage|crime|missing wife
Zodiac,2007,crime|mystery,serial killer|san francisco
The Social Network,2010,drama|biography,facebook|programming
The Curious Case of Benjamin Button,2008,drama|fantasy,reverse aging|romance
La La Land,2016,romance|musical,jazz|love|hollywood
Whiplash,2014,drama|music,drums|mentor|abuse
Black Swan,2010,thriller|drama,ballerina|psychological
Her,2013,romance|sci-fi,ai|loneliness|future
Ex Machina,2014,sci-fi|thriller,ai|robot|turing test
Blade Runner,1982,sci-fi|neo-noir,replicant|cyberpunk
Blade Runner 2049,2017,sci-fi|neo-noir,replicant|future|hologram
Dune,2021,sci-fi|epic,arrakis|sandworm
Dune Part 2,2024,sci-fi|epic,atreides|fremen|sandworm
Arrival,2016,sci-fi|drama,aliens|communication|time
Edge of Tomorrow,2014,sci-fi|action,time loop|aliens
Looper,2012,sci-fi|action,time travel|assassin
Oblivion,2013,sci-fi|action,drones|future|memory
Minority Report,2002,sci-fi|thriller,precog|future|prediction
War of the Worlds,2005,sci-fi|thriller,aliens|invasion
E.T.,1982,sci-fi|family,alien|friendship
Jurassic Park,1993,sci-fi|adventure,dinosaur|theme park
Jurassic World,2015,action|sci-fi,dinosaur|island
The Avengers,2012,action|superhero,marvel|team
Avengers: Infinity War,2018,action|superhero,thanos|gauntlet
Avengers: Endgame,2019,action|superhero,time heist
Iron Man,2008,action|superhero,tony stark|ai suit
Iron Man 2,2010,action|superhero,stark|whiplash
Iron Man 3,2013,action|superhero,mandarin|extremis
Thor,2011,action|fantasy,asgard|god
Thor Ragnarok,2017,action|comedy|fantasy,asgard|hulk
Captain America: The Winter Soldier,2014,action|thriller,hydra|spy
Captain America: Civil War,2016,action|superhero,avengers|split
Doctor Strange,2016,action|fantasy,magic|multiverse
Doctor Strange Multiverse of Madness,2022,action|fantasy,wanda|chaos magic
Guardians of the Galaxy,2014,action|comedy,space|aliens
Guardians of the Galaxy Vol.2,2017,action|comedy,ego|family
Guardians Vol.3,2023,action|comedy,rocket|experiment
Black Panther,2018,action|superhero,wakanda|afrofuturism
Spider-Man Homecoming,2017,action|superhero,teen|stark
Spider-Man Far From Home,2019,action|superhero,illusion|mysterio
Spider-Man No Way Home,2021,action|superhero,multiverse
Logan,2017,action|drama,wolverine|mutant
Deadpool,2016,action|comedy,antihero|breaking fourth wall
Deadpool 2,2018,action|comedy,mutant|time travel
X-Men Days of Future Past,2014,action|sci-fi,mutants|time travel
X-Men First Class,2011,action|sci-fi,mutants|cold war
Man of Steel,2013,action|superhero,superman|krypton
Justice League Snyder Cut,2021,action|superhero,dc|team
The Batman,2022,crime|noir,detective|gotham|riddler
Joker,2019,drama|crime,arthur fleck|madness
V for Vendetta,2005,action|thriller,revolution|mask
Watchmen,2009,action|superhero,antihero|dark
300,2007,action|war,spartans|battle
Gladiator,2000,drama|epic,rome|arena
Troy,2004,drama|epic,greek|war
Kingdom of Heaven,2005,drama|epic,crusades
Braveheart,1995,drama|epic,scotland|freedom
Saving Private Ryan,1998,war|drama,ww2|normandy
Hacksaw Ridge,2016,war|drama,medic|ww2
1917,2019,war|drama,ww1|one shot
All Quiet on the Western Front,2022,war|drama,ww1
The Pianist,2002,war|drama,holocaust
Schindler’s List,1993,war|drama,holocaust|oskar schindler
Life Is Beautiful,1997,drama|war|comedy,holocaust
Forrest Gump,1994,drama|romance,life|running
Cast Away,2000,drama|survival,island
The Terminal,2004,drama|comedy,airport
Catch Me If You Can,2002,crime|drama,fbi|con man
The Pursuit of Happyness,2006,drama|biography,poverty|father|hope
The Green Mile,1999,drama|fantasy,death row|healing
The Shawshank Redemption,1994,drama|crime,prison|escape
The Departed,2006,crime|thriller,undercover|mafia
Heat,1995,crime|action,heist|detective
No Country for Old Men,2007,crime|thriller,hitman|coins
There Will Be Blood,2007,drama|epic,oil|ambition
Oldboy,2003,thriller|mystery,korean|revenge
Parasite,2019,thriller|drama,korean|class divide
Train to Busan,2016,horror|action,zombies|korean
The Wailing,2016,horror|mystery,korean|possession
The Handmaiden,2016,thriller|romance,korean|twist
Memories of Murder,2003,crime|mystery,korean|serial killer
Snowpiercer,2013,sci-fi|action,train|class system
Okja,2017,drama|adventure,korean|giant pig
The Host,2006,horror|sci-fi,monster|river
I Saw The Devil,2010,thriller|crime,serial killer
The Ring,1998,horror,japanese|curse
Spirited Away,2001,animation|fantasy,ghibli|spirits
Princess Mononoke,1997,animation|fantasy,forest|ghibli
Howl’s Moving Castle,2004,animation|fantasy,magic|ghibli
Your Name,2016,animation|romance,body swap
Weathering With You,2019,animation|fantasy,weather
Suzume,2022,animation|fantasy,doors
The Lion King,1994,animation|drama,animals|pride rock
Toy Story,1995,animation|family|comedy,toys
Toy Story 3,2010,animation|family|drama,toys
Up,2009,animation|adventure,balloons|friendship
Inside Out,2015,animation|family,emotions
Coco,2017,animation|musical,mexico|afterlife
Soul,2020,animation|music|drama,jazz
WALL·E,2008,animation|sci-fi,robot|future
Ratatouille,2007,animation|comedy,cooking|paris
Finding Nemo,2003,animation|adventure,ocean
Finding Dory,2016,animation|adventure,ocean
Monsters Inc,2001,animation|comedy,monsters
Shrek,2001,animation|comedy,fairytale
Shrek 2,2004,animation|comedy,fairytale
Madagascar,2005,animation|comedy,animals
Kung Fu Panda,2008,animation|comedy,martial arts
How to Train Your Dragon,2010,animation|fantasy,dragons
The Notebook,2004,romance|drama,love|memory
Pride and Prejudice,2005,romance|drama,classic|england
A Star Is Born,2018,romance|drama,music|singer
The Fault in Our Stars,2014,romance|drama,cancer|teen
Me Before You,2016,romance|drama,disability
The Big Short,2015,drama|biography,finance|crisis
Margin Call,2011,drama|finance,wall street
Moneyball,2011,drama|sports,baseball|statistics
The Big Lebowski,1998,comedy|crime,bowling|dude
Superbad,2007,comedy|teen,party
The Hangover,2009,comedy|crime,vegas
Step Brothers,2008,comedy|family,bros
Knives Out,2019,crime|mystery,detective|whodunit
Glass Onion,2022,crime|mystery,detective|billionaire island
The Conjuring,2013,horror,haunted|demon
The Conjuring 2,2016,horror,haunting|nun
Insidious,2010,horror,astral|demon
Sinister,2012,horror,super 8 tapes|demon
It,2017,horror,pennywise|clown
Get Out,2017,horror|thriller,racism|sunken place
Us,2019,horror|thriller,doppelganger
Nope,2022,horror|sci-fi,ufo
Bird Box,2018,horror|thriller,blindfold
A Quiet Place,2018,horror|thriller,sound|aliens
A Quiet Place 2,2020,horror|thriller,sound|survival
1917,2019,war|drama,ww1|one shot
Top Gun Maverick,2022,action|drama,fighter jets
Mission Impossible Fallout,2018,action|spy,stunts
Mission Impossible Dead Reckoning,2023,action|spy,ai
Skyfall,2012,action|spy,007|mi6
Casino Royale,2006,action|spy,007|poker
The Bourne Identity,2002,action|spy,amnesia
The Bourne Ultimatum,2007,action|spy,chase
Jack Reacher,2012,action|thriller,detective
The Equalizer,2014,action|thriller,retired agent
Taken,2008,action|thriller,kidnapping
The Raid,2011,action|martial arts,indonesia
The Raid 2,2014,action|martial arts,crime
Ip Man,2008,action|martial arts,wing chun
Ip Man 2,2010,action|martial arts,boxing
Crouching Tiger Hidden Dragon,2000,action|fantasy,ancient china
Hero,2002,action|drama,wuxia
House of Flying Daggers,2004,action|romance,wuxia
Life of Pi,2012,drama|adventure,tiger|ocean
Gravity,2013,sci-fi|thriller,space|survival
The Martian,2015,sci-fi|drama,astronaut|mars
Passengers,2016,sci-fi|romance,spaceship
Moon,2009,sci-fi|drama,clone|isolation
Source Code,2011,sci-fi|thriller,time loop
Limitless,2011,thriller|sci-fi,pill|brain
Lucy,2014,action|sci-fi,brain|enhancement
The Truman Show,1998,drama|sci-fi,simulation|tv show
Eternal Sunshine of the Spotless Mind,2004,drama|romance,memory erase
Donnie Darko,2001,drama|sci-fi,time travel|rabbit
Requiem for a Dream,2000,drama|psychological,addiction
American Psycho,2000,thriller|dark comedy,wealth|serial killer
Nightcrawler,2014,crime|thriller,news|morality
Drive,2011,crime|drama,neon|getaway driver
Baby Driver,2017,action|crime,music|heist
Mad Max Fury Road,2015,action|sci-fi,post-apocalyptic|cars
Children of Men,2006,sci-fi|drama,infertility
District 9,2009,sci-fi|action,aliens| apartheid metaphor
The Lobster,2015,drama|absurd,relationships
The Favourite,2018,drama|history,queen|palace
Amélie,2001,romance|comedy,paris|whimsy
The Grand Budapest Hotel,2014,comedy|drama,wes anderson
The French Dispatch,2021,comedy|anthology,wes anderson
Moonrise Kingdom,2012,romance|drama,wes anderson
